iter	MultiClass
0	1.044499858
1	0.9966724588
2	0.9516841222
3	0.912789316
4	0.8762879631
5	0.8414453034
6	0.8117925507
7	0.7849419573
8	0.7617947911
9	0.736149849
10	0.7125347227
11	0.6894240407
12	0.6660950296
13	0.6460389121
14	0.6247247463
15	0.6071432684
16	0.5921672914
17	0.5767453914
18	0.5604963433
19	0.5461484482
20	0.5337967638
21	0.521948372
22	0.5075150506
23	0.4943119826
24	0.4809123085
25	0.4712969339
26	0.4617439541
27	0.4536253711
28	0.4444062446
29	0.4330559109
30	0.4243053725
31	0.4153152533
32	0.4079031643
33	0.4014530368
34	0.3938422219
35	0.3867005447
36	0.3807952452
37	0.3745584216
38	0.3688271938
39	0.3626175632
40	0.3563879893
41	0.3494036075
42	0.3439890116
43	0.3384306777
44	0.3323341898
45	0.3269190706
46	0.3222166481
47	0.316881773
48	0.3116978856
49	0.3065070626
50	0.3000895981
