iter	Passed	Remaining
0	240	120112
1	294	73319
2	338	56073
3	387	48031
4	437	43298
5	475	39113
6	515	36288
7	554	34086
8	592	32302
9	629	30823
10	664	29528
11	705	28670
12	746	27956
13	785	27262
14	826	26724
15	864	26153
16	901	25618
17	940	25196
18	980	24818
19	1021	24510
20	1057	24120
21	1091	23713
22	1132	23493
23	1172	23263
24	1215	23085
25	1253	22861
26	1287	22562
27	1320	22264
28	1356	22032
29	1397	21899
30	1436	21734
31	1477	21602
32	1517	21479
33	1549	21234
34	1586	21074
35	1625	20957
36	1663	20812
37	1703	20705
38	1737	20537
39	1776	20427
40	1815	20327
41	1852	20205
42	1886	20050
43	1923	19935
44	1961	19833
45	1999	19731
46	2036	19630
47	2073	19527
48	2107	19401
49	2145	19310
50	2185	19239
5	14936	147419
46	14976	144350
47	15014	141386
48	15051	138530
49	15089	135807
50	15133	133236
